revol_bal,home_ownership,verification_status,emp_length,dti,annual_inc,output
1980,RENT,Not Verified,1,18.22,22000.0,Defaulters
781,MORTGAGE,Source Verified,6,14.72,75000.0,Non-Defaulters
11151,OWN,Not Verified,4,26.77,26000.0,Non-Defaulters
14963,OWN,Source Verified,5,20.4,55000.0,Non-Defaulters
10587,RENT,Source Verified,5,15.4,82000.0,Non-Defaulters
5664,MORTGAGE,Not Verified,6,5.89,110000.0,Non-Defaulters
5112,MORTGAGE,Source Verified,10,6.31,31200.0,Defaulters
3194,RENT,Verified,6,16.72,72000.0,Non-Defaulters
626,RENT,Source Verified,10,9.94,60000.0,Non-Defaulters
4195,OWN,Not Verified,,9.74,62000.0,Non-Defaulters
20484,RENT,Source Verified,10,10.83,95000.0,Non-Defaulters
9584,RENT,Verified,1,18.96,71000.0,Non-Defaulters
3456,MORTGAGE,Verified,,20.9,24000.0,Non-Defaulters
9209,RENT,Not Verified,7,9.81,85000.0,Non-Defaulters
5033,RENT,Not Verified,10,15.49,45000.0,Non-Defaulters
989,MORTGAGE,Source Verified,10,4.06,62000.0,Non-Defaulters
4538,RENT,Verified,1,33.6,34000.0,Non-Defaulters
18905,RENT,Not Verified,1,16.51,50000.0,Non-Defaulters
10839,MORTGAGE,Verified,3,10.49,69552.0,Non-Defaulters
16717,MORTGAGE,Verified,10,17.56,67920.0,Defaulters
71043,MORTGAGE,Not Verified,10,24.0,120000.0,Non-Defaulters
1963,OWN,Not Verified,4,3.07,45000.0,Defaulters
10362,MORTGAGE,Verified,3,5.02,50000.0,Non-Defaulters
15983,RENT,Source Verified,7,7.85,72000.0,Defaulters
27074,MORTGAGE,Not Verified,8,24.77,67000.0,Non-Defaulters
24700,RENT,Verified,1,18.31,150000.0,Defaulters
7439,OWN,Source Verified,1,24.76,35000.0,Defaulters
8039,RENT,Not Verified,3,21.36,35000.0,Non-Defaulters
23055,MORTGAGE,Source Verified,10,23.02,72000.0,Non-Defaulters
4135,RENT,Verified,9,10.33,51933.0,Non-Defaulters
1317,MORTGAGE,Source Verified,10,8.19,120000.0,Non-Defaulters
13632,MORTGAGE,Source Verified,2,13.7,87000.0,Non-Defaulters
18032,MORTGAGE,Verified,10,19.95,70000.0,Non-Defaulters
9896,RENT,Source Verified,4,12.72,50000.0,Non-Defaulters
8026,OWN,Source Verified,10,18.28,157000.0,Non-Defaulters
12019,MORTGAGE,Not Verified,8,20.27,45000.0,Non-Defaulters
1500,MORTGAGE,Source Verified,5,8.67,97000.0,Non-Defaulters
13420,RENT,Verified,10,33.96,36820.0,Non-Defaulters
23371,RENT,Verified,1,24.81,55000.0,Defaulters
12195,RENT,Not Verified,1,8.86,37800.0,Non-Defaulters
41155,MORTGAGE,Not Verified,7,5.07,168000.0,Non-Defaulters
19109,MORTGAGE,Not Verified,5,17.47,54000.0,Non-Defaulters
8356,MORTGAGE,Not Verified,3,17.18,69000.0,Non-Defaulters
22295,MORTGAGE,Source Verified,7,24.1,49000.0,Defaulters
30701,RENT,Verified,10,34.42,50000.0,Non-Defaulters
7201,RENT,Not Verified,10,14.2,48000.0,Non-Defaulters
3221,MORTGAGE,Not Verified,1,25.3,50000.0,Non-Defaulters
1062,RENT,Not Verified,3,14.32,26400.0,Non-Defaulters
13767,MORTGAGE,Source Verified,10,21.45,70000.0,Non-Defaulters
20869,RENT,Not Verified,4,18.46,62000.0,Non-Defaulters
2031,MORTGAGE,Source Verified,10,11.32,155000.0,Defaulters
15945,RENT,Not Verified,10,28.13,72000.0,Non-Defaulters
24897,RENT,Not Verified,4,10.2,108000.0,Non-Defaulters
20654,RENT,Verified,2,12.38,101000.0,Non-Defaulters
14503,MORTGAGE,Verified,4,10.95,110000.0,Non-Defaulters
8460,RENT,Source Verified,1,10.92,250000.0,Non-Defaulters
11009,OWN,Source Verified,10,17.89,44000.0,Non-Defaulters
15688,MORTGAGE,Source Verified,2,14.83,181000.0,Non-Defaulters
14758,RENT,Verified,7,14.16,70000.0,Defaulters
15840,RENT,Verified,10,22.15,61500.0,Defaulters
7828,MORTGAGE,Not Verified,10,13.0,240000.0,Non-Defaulters
6748,MORTGAGE,Not Verified,10,13.22,80000.0,Non-Defaulters
1314,RENT,Not Verified,7,16.66,85000.0,Non-Defaulters
3676,RENT,Not Verified,1,15.11,25000.0,Non-Defaulters
9842,RENT,Not Verified,10,10.51,75000.0,Non-Defaulters
15793,RENT,Verified,7,17.54,31800.0,Non-Defaulters
29458,MORTGAGE,Verified,10,25.62,85000.0,Defaulters
14435,OWN,Verified,10,25.06,26000.0,Non-Defaulters
4147,OWN,Verified,,33.61,25000.0,Defaulters
10876,MORTGAGE,Verified,6,10.64,45000.0,Non-Defaulters
24436,MORTGAGE,Not Verified,5,12.84,180000.0,Non-Defaulters
7169,RENT,Source Verified,10,21.16,49000.0,Non-Defaulters
26889,RENT,Source Verified,2,7.6,383000.0,Non-Defaulters
34001,MORTGAGE,Verified,9,16.58,65000.0,Non-Defaulters
13243,MORTGAGE,Not Verified,2,8.89,53590.0,Non-Defaulters
37081,MORTGAGE,Not Verified,1,17.09,65000.0,Non-Defaulters
7501,OWN,Source Verified,1,20.09,65000.0,Non-Defaulters
54155,MORTGAGE,Source Verified,10,33.43,93000.0,Non-Defaulters
10,RENT,Not Verified,1,0.27,44000.0,Non-Defaulters
996,MORTGAGE,Not Verified,2,10.63,65000.0,Non-Defaulters
43524,MORTGAGE,Source Verified,10,11.52,225000.0,Non-Defaulters
6111,RENT,Verified,,26.56,70000.0,Defaulters
10300,MORTGAGE,Not Verified,1,13.06,58000.0,Defaulters
15828,MORTGAGE,Verified,5,12.42,34984.0,Non-Defaulters
39380,RENT,Source Verified,2,19.53,160000.0,Non-Defaulters
16654,OWN,Verified,10,8.41,97000.0,Non-Defaulters
1950,MORTGAGE,Source Verified,3,9.48,50000.0,Non-Defaulters
9085,RENT,Source Verified,2,16.52,26000.0,Non-Defaulters
20500,RENT,Not Verified,2,15.69,32200.0,Non-Defaulters
5793,RENT,Source Verified,1,7.12,34560.0,Defaulters
12318,MORTGAGE,Verified,10,29.87,57000.0,Non-Defaulters
3076,RENT,Not Verified,9,4.2,38000.0,Non-Defaulters
13436,RENT,Not Verified,3,26.89,45000.0,Non-Defaulters
6906,RENT,Not Verified,1,24.39,40000.0,Non-Defaulters
2902,MORTGAGE,Verified,10,9.18,89064.0,Non-Defaulters
8064,MORTGAGE,Not Verified,2,28.13,32000.0,Non-Defaulters
11936,MORTGAGE,Not Verified,5,12.46,79500.0,Non-Defaulters
7116,RENT,Source Verified,1,10.46,19500.0,Defaulters
9414,MORTGAGE,Verified,10,23.1,68000.0,Defaulters
25069,RENT,Not Verified,2,20.01,67600.0,Non-Defaulters
48787,MORTGAGE,Source Verified,6,9.05,225000.0,Non-Defaulters
9848,RENT,Not Verified,2,22.91,76500.0,Non-Defaulters
3761,MORTGAGE,Not Verified,2,19.28,85000.0,Non-Defaulters
8243,RENT,Not Verified,10,11.46,64000.0,Non-Defaulters
45097,MORTGAGE,Verified,10,24.18,75000.0,Defaulters
6148,RENT,Not Verified,7,22.2,48000.0,Non-Defaulters
77585,OWN,Not Verified,4,19.1,52000.0,Non-Defaulters
13438,RENT,Verified,4,3.84,50000.0,Defaulters
7554,RENT,Source Verified,5,19.01,31500.0,Non-Defaulters
1729,MORTGAGE,Not Verified,6,11.46,53000.0,Defaulters
23154,MORTGAGE,Verified,3,30.73,60000.0,Defaulters
2161,MORTGAGE,Source Verified,7,1.34,130000.0,Non-Defaulters
2088,MORTGAGE,Not Verified,10,21.3,44000.0,Non-Defaulters
31774,MORTGAGE,Verified,10,25.42,71000.0,Non-Defaulters
7402,RENT,Verified,2,18.22,65000.0,Non-Defaulters
7521,RENT,Not Verified,10,14.89,95500.0,Non-Defaulters
17818,MORTGAGE,Verified,4,31.3,35000.0,Non-Defaulters
0,RENT,Source Verified,1,15.85,24000.0,Defaulters
1834,RENT,Verified,3,0.48,152000.0,Non-Defaulters
2976,RENT,Not Verified,2,23.52,35000.0,Non-Defaulters
8505,MORTGAGE,Verified,7,28.52,30000.0,Non-Defaulters
12889,RENT,Not Verified,1,12.08,63000.0,Non-Defaulters
4287,OWN,Verified,,4.94,33996.0,Defaulters
24675,MORTGAGE,Not Verified,10,15.32,100800.0,Non-Defaulters
9949,MORTGAGE,Source Verified,8,14.76,115200.0,Non-Defaulters
1589,RENT,Source Verified,5,17.07,62000.0,Non-Defaulters
17348,MORTGAGE,Not Verified,1,22.46,25000.0,Non-Defaulters
15257,OWN,Source Verified,2,23.46,65000.0,Non-Defaulters
21758,MORTGAGE,Source Verified,3,28.23,42000.0,Non-Defaulters
8528,MORTGAGE,Verified,10,19.0,61000.0,Non-Defaulters
10218,RENT,Source Verified,2,6.13,92000.0,Non-Defaulters
32024,RENT,Not Verified,4,26.93,110000.0,Non-Defaulters
11151,RENT,Not Verified,2,14.12,72000.0,Non-Defaulters
7467,MORTGAGE,Not Verified,10,17.45,22000.0,Non-Defaulters
8665,MORTGAGE,Verified,10,23.35,49380.0,Defaulters
6927,MORTGAGE,Source Verified,4,28.3,48000.0,Non-Defaulters
9489,MORTGAGE,Verified,7,21.11,90000.0,Non-Defaulters
7192,RENT,Not Verified,1,24.7,51687.24,Non-Defaulters
110816,OWN,Not Verified,9,18.0,110000.0,Non-Defaulters
46764,MORTGAGE,Source Verified,4,21.14,129000.0,Non-Defaulters
4001,MORTGAGE,Not Verified,1,13.55,160000.0,Non-Defaulters
24415,MORTGAGE,Verified,8,16.27,104000.0,Defaulters
2869,MORTGAGE,Verified,5,18.28,81000.0,Non-Defaulters
29138,MORTGAGE,Verified,1,7.94,175000.0,Defaulters
5696,RENT,Source Verified,4,18.6,27996.0,Non-Defaulters
4993,RENT,Not Verified,10,12.83,27500.0,Non-Defaulters
0,RENT,Verified,1,16.04,10000.0,Non-Defaulters
24039,MORTGAGE,Not Verified,10,18.59,130000.0,Non-Defaulters
4519,MORTGAGE,Source Verified,1,11.09,87000.0,Non-Defaulters
18692,MORTGAGE,Verified,2,14.25,41000.0,Non-Defaulters
20942,MORTGAGE,Verified,1,22.65,87000.0,Non-Defaulters
2938,RENT,Not Verified,10,19.56,40000.0,Non-Defaulters
25537,RENT,Verified,5,22.32,50000.0,Defaulters
5770,RENT,Not Verified,8,24.27,46000.0,Non-Defaulters
580,MORTGAGE,Not Verified,4,0.96,50000.0,Non-Defaulters
419,RENT,Not Verified,10,0.94,32000.0,Non-Defaulters
7460,RENT,Verified,1,10.63,48000.0,Non-Defaulters
10142,MORTGAGE,Not Verified,10,27.48,60000.0,Non-Defaulters
1026,MORTGAGE,Not Verified,3,18.3,65000.0,Non-Defaulters
17304,MORTGAGE,Verified,1,23.46,65000.0,Defaulters
14007,OWN,Verified,8,27.09,132000.0,Defaulters
12068,RENT,Source Verified,1,24.23,26000.0,Non-Defaulters
1204,MORTGAGE,Source Verified,10,19.27,36000.0,Non-Defaulters
11071,RENT,Verified,4,4.56,200000.0,Non-Defaulters
7020,MORTGAGE,Source Verified,1,26.25,50000.0,Defaulters
20778,MORTGAGE,Verified,10,14.93,102000.0,Non-Defaulters
2532,OWN,Not Verified,10,15.25,72000.0,Non-Defaulters
46054,MORTGAGE,Verified,1,24.5,225000.0,Non-Defaulters
6836,MORTGAGE,Not Verified,8,11.9,35000.0,Non-Defaulters
22858,RENT,Verified,10,34.4,37000.0,Defaulters
14981,MORTGAGE,Verified,3,26.36,65000.0,Defaulters
11805,RENT,Not Verified,8,7.87,48100.0,Non-Defaulters
4347,RENT,Not Verified,7,19.04,38000.0,Non-Defaulters
40358,OWN,Verified,10,5.56,140000.0,Non-Defaulters
11939,OWN,Verified,10,17.69,96996.0,Non-Defaulters
26222,MORTGAGE,Verified,8,25.31,53335.0,Defaulters
5451,MORTGAGE,Not Verified,10,11.77,40000.0,Non-Defaulters
41038,RENT,Source Verified,1,32.3,132000.0,Non-Defaulters
17592,MORTGAGE,Verified,10,33.82,43000.0,Non-Defaulters
27202,RENT,Source Verified,4,25.06,123600.0,Non-Defaulters
4010,MORTGAGE,Source Verified,2,24.42,46000.0,Non-Defaulters
36923,RENT,Not Verified,10,5.1,111000.0,Non-Defaulters
17298,OWN,Source Verified,3,27.16,65471.25,Non-Defaulters
16140,MORTGAGE,Verified,8,16.39,113000.0,Non-Defaulters
145,MORTGAGE,Not Verified,10,4.13,96000.0,Non-Defaulters
11327,OWN,Verified,10,20.4,62000.0,Non-Defaulters
21463,RENT,Not Verified,10,5.67,100080.0,Non-Defaulters
5727,RENT,Not Verified,1,24.74,38000.0,Non-Defaulters
22546,MORTGAGE,Source Verified,4,27.1,72000.0,Non-Defaulters
19193,MORTGAGE,Source Verified,4,6.5,72000.0,Non-Defaulters
5883,RENT,Source Verified,5,13.4,53000.0,Non-Defaulters
8000,MORTGAGE,Verified,,23.68,67896.0,Non-Defaulters
30254,MORTGAGE,Source Verified,7,13.4,98000.0,Non-Defaulters
10158,RENT,Source Verified,1,14.18,117000.0,Non-Defaulters
952,RENT,Not Verified,10,23.8,47000.0,Defaulters
5810,MORTGAGE,Not Verified,2,14.57,36000.0,Non-Defaulters
5715,MORTGAGE,Verified,4,11.93,33700.0,Defaulters
9841,MORTGAGE,Not Verified,4,13.05,100000.0,Non-Defaulters
6388,MORTGAGE,Verified,10,4.35,36900.0,Non-Defaulters
35444,RENT,Source Verified,10,7.63,93000.0,Non-Defaulters
4385,RENT,Not Verified,5,11.39,45000.0,Non-Defaulters
4202,RENT,Not Verified,1,19.01,19000.0,Non-Defaulters
31292,MORTGAGE,Verified,9,9.58,93000.0,Non-Defaulters
18244,RENT,Not Verified,6,12.42,66000.0,Non-Defaulters
13655,MORTGAGE,Source Verified,8,9.3,60000.0,Defaulters
4544,MORTGAGE,Not Verified,9,4.27,45000.0,Non-Defaulters
39463,MORTGAGE,Verified,5,24.65,80263.0,Non-Defaulters
16981,MORTGAGE,Not Verified,5,17.98,62000.0,Non-Defaulters
4012,RENT,Source Verified,7,2.32,45000.0,Non-Defaulters
7673,MORTGAGE,Verified,10,7.63,75000.0,Non-Defaulters
24028,MORTGAGE,Not Verified,10,12.89,140000.0,Non-Defaulters
7016,MORTGAGE,Not Verified,2,23.93,80000.0,Defaulters
13150,RENT,Not Verified,5,26.1,48200.0,Non-Defaulters
4810,RENT,Not Verified,2,8.31,19200.0,Non-Defaulters
1291,MORTGAGE,Verified,6,18.76,29000.0,Non-Defaulters
18198,RENT,Verified,10,21.65,33258.76,Non-Defaulters
10665,MORTGAGE,Source Verified,5,12.41,50000.0,Defaulters
20277,MORTGAGE,Verified,5,7.62,215000.0,Non-Defaulters
10519,RENT,Verified,10,13.29,90000.0,Non-Defaulters
1508,OWN,Verified,1,22.01,32004.0,Non-Defaulters
13657,OWN,Not Verified,1,16.88,80000.0,Non-Defaulters
15280,MORTGAGE,Verified,10,3.47,102408.0,Non-Defaulters
15961,RENT,Verified,2,19.63,101000.0,Non-Defaulters
13708,MORTGAGE,Not Verified,3,26.23,46800.0,Defaulters
9356,MORTGAGE,Verified,,13.74,81900.0,Non-Defaulters
20228,MORTGAGE,Not Verified,10,26.31,40000.0,Non-Defaulters
10752,OWN,Source Verified,,22.41,30000.0,Non-Defaulters
2378,RENT,Source Verified,1,15.06,20000.0,Non-Defaulters
8469,RENT,Not Verified,3,26.06,28000.0,Defaulters
7178,RENT,Not Verified,3,15.88,52000.0,Non-Defaulters
6228,MORTGAGE,Source Verified,5,15.49,32000.0,Non-Defaulters
2533,MORTGAGE,Not Verified,6,7.11,40000.0,Non-Defaulters
9046,MORTGAGE,Not Verified,7,27.8,24000.0,Non-Defaulters
8702,RENT,Verified,1,14.43,40000.0,Non-Defaulters
7017,RENT,Not Verified,2,24.65,33000.0,Non-Defaulters
8963,MORTGAGE,Not Verified,10,23.33,50000.0,Non-Defaulters
3087,MORTGAGE,Source Verified,3,13.41,63000.0,Non-Defaulters
28747,RENT,Source Verified,10,13.22,78000.0,Non-Defaulters
22191,MORTGAGE,Verified,1,11.52,62700.0,Non-Defaulters
5774,MORTGAGE,Source Verified,1,12.58,98000.0,Non-Defaulters
14534,RENT,Not Verified,6,14.48,75000.0,Defaulters
20754,MORTGAGE,Verified,6,11.22,75090.0,Defaulters
4070,RENT,Source Verified,3,26.84,50000.0,Non-Defaulters
321201,MORTGAGE,Verified,2,12.63,390000.0,Non-Defaulters
15038,RENT,Source Verified,6,21.54,60000.0,Defaulters
21842,OWN,Source Verified,10,32.97,80000.0,Non-Defaulters
4223,RENT,Not Verified,6,5.69,23000.0,Defaulters
13436,MORTGAGE,Not Verified,8,26.34,85000.0,Non-Defaulters
13779,MORTGAGE,Source Verified,5,10.49,182000.0,Defaulters
15343,MORTGAGE,Not Verified,3,22.93,47000.0,Defaulters
25957,MORTGAGE,Source Verified,9,10.58,125000.0,Non-Defaulters
9611,MORTGAGE,Verified,10,28.76,29000.0,Defaulters
16783,RENT,Verified,1,12.2,48000.0,Non-Defaulters
1741,RENT,Not Verified,3,8.9,50000.0,Non-Defaulters
23919,MORTGAGE,Source Verified,3,11.53,140500.0,Non-Defaulters
12538,MORTGAGE,Verified,6,25.0,43000.0,Non-Defaulters
3195,RENT,Source Verified,8,6.62,70000.0,Non-Defaulters
21870,OWN,Verified,9,24.35,75000.0,Defaulters
5209,MORTGAGE,Verified,,26.57,23178.0,Non-Defaulters
37376,MORTGAGE,Verified,5,12.29,80000.0,Non-Defaulters
7718,MORTGAGE,Source Verified,2,11.28,52000.0,Non-Defaulters
21473,OWN,Source Verified,5,24.8,50000.0,Non-Defaulters
43431,MORTGAGE,Source Verified,10,28.11,78000.0,Non-Defaulters
22282,MORTGAGE,Verified,2,23.86,50000.0,Non-Defaulters
11155,MORTGAGE,Not Verified,6,16.56,40000.0,Defaulters
16126,RENT,Verified,9,29.71,42000.0,Defaulters
22141,MORTGAGE,Source Verified,2,15.75,88000.0,Non-Defaulters
18859,MORTGAGE,Not Verified,10,15.16,68000.0,Defaulters
10431,MORTGAGE,Not Verified,5,9.56,84000.0,Non-Defaulters
13421,RENT,Not Verified,10,25.63,53000.0,Defaulters
6161,RENT,Source Verified,2,3.94,43200.0,Defaulters
12254,RENT,Verified,6,20.28,46400.0,Defaulters
5070,RENT,Not Verified,2,18.13,36000.0,Non-Defaulters
27502,MORTGAGE,Verified,10,37.5,80000.0,Defaulters
45458,MORTGAGE,Source Verified,3,12.36,144800.0,Non-Defaulters
17335,MORTGAGE,Source Verified,6,8.54,210000.0,Non-Defaulters
10926,MORTGAGE,Not Verified,7,10.44,30000.0,Non-Defaulters
